created_at_est,polarity,tweet
2022-03-05 04:33:13-05:00,1,@teslaownersSV A beautiful home for life
2022-03-04 20:41:59-05:00,0,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil &amp; gas exports."
2022-03-04 17:33:29-05:00,1,@RenataKonkoly @MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Haha sure :)
2022-03-04 15:10:16-05:00,1,@MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Ich möchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend! 🇩🇪 🇩🇪
2022-03-03 23:14:21-05:00,1,@teslaownersSV @tobyliiiiiiiiii Game on
2022-03-03 13:55:58-05:00,1,"@Teslarati @ResidentSponge In class action lawsuits, the actual plaintiff is always the class action law firm. They just find someone willing to serve as a puppet to “represent the class”."
2022-03-03 12:22:20-05:00,1,"@WhatsupFranks @Teslarati @ResidentSponge Yeah, maybe 98"
2022-03-03 12:17:34-05:00,0,@Teslarati @ResidentSponge This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW  https://t.co/dncVvZrkoL
2022-03-03 01:31:08-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden By the way, Tesla factory worker compensation is the highest in the auto industry  https://t.co/Peo3qtYc5D"
2022-03-03 00:57:31-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden Our real challenge is Bay Area has negative unemployment, so if we don’t treat and compensate our (awesome) people well, they have many other offers and will just leave!  I’d like hereby to invite UAW to hold a union vote at their convenience. Tesla will do nothing to stop them."
2022-03-02 04:29:58-05:00,0,"@teslaownersSV 🤣🤣 That was me tweeting from @SpaceX when someone else had snatched my name.   I was actually one of the earliest Twitter users, but dropped my account because people were tweeting such trivialities at first. @westcoastbill convinced me to get back in."
2022-03-02 04:22:13-05:00,1,@WholeMarsBlog The probability of Tesla dying in 2008/2009 was very high. We closed our financing round at 6pm on Dec 24th – the last working hour of the last day before Tesla would otherwise bounce payroll.
2022-03-01 23:04:55-05:00,1,"@JoeBiden Tesla has created over 50,000 US jobs building electric vehicles &amp; is investing more than double GM + Ford combined  [fyi to person controlling this twitter]"
2022-03-01 22:58:18-05:00,0,"@teslaownersSV @WholeMarsBlog Our primary challenge is affordability. Creating an expensive truck is relatively easy.   If it is extremely hard to do so for Tesla, despite our much greater economies of scale &amp; better technology, then it is damn near impossible for others."
2022-03-01 22:52:27-05:00,1,"@WholeMarsBlog @Teslarati @KlenderJoey Saudi Arabia owns 2/3 of Lucid, so inevitable"
2022-03-01 22:41:03-05:00,0,@Teslarati @KlenderJoey Their negative gross margin will be staggering
2022-02-28 23:00:21-05:00,1,"@DriveTeslaca Depends on what issues we see that are unique to Canada. If things are looking good, then we can lower the safety score threshold."
2022-02-25 14:13:44-05:00,0,@DriveTeslaca We’ve had about 60 or so cars testing internally in Canada. Hoping to go wider this weekend.
2022-02-25 14:05:57-05:00,1,"@teslaownersSV @SpaceX Starlink is a little patchy to Tonga right now, but will improve dramatically as laser inter-satellite links activate"
2022-02-25 02:42:38-05:00,1,@teslaownersSV @moxie Just iMessage &amp; Signal
2022-02-23 14:31:05-05:00,1,@ziqi37 @teslaownersSV @SECGov Exactly
2022-02-22 18:00:52-05:00,0,@DMC_Ryan @CyberpunkGame We’re working through the general case of making Steam games work on a Tesla vs specific titles. Former is obviously where we should be long-term.
2022-02-22 14:48:59-05:00,0,"@teslaownersSV Small changes usually affect production for less than an hour, as they’re applied to a few stations during breaks.  Big changes may impact output for a day or two. Reversing out big changes or unexpected parts shortages are what impact several days."
2022-02-22 14:41:22-05:00,1,@teslaownersSV Sometimes 20 small changes in a single week
2022-02-22 07:37:56-05:00,1,@Teslarati @ResidentSponge This is just peeling back the first layer of the corruption onion. Stay tuned …
2022-02-22 06:37:11-05:00,1,@GailAlfarATX @SpaceX @SirineAti @austinbarnard45 @OwenSparks_ @TacosandTeslas @EvaFoxU @DimaZeniuk @Grandpajoe42 @AstroJordy Yes
2022-02-22 05:52:00-05:00,1,@Teslarati @Writer_01001101 !!
2022-02-21 20:23:06-05:00,1,@TeslaGong 🤣
2022-02-21 12:51:21-05:00,0,"@d4t4wr4ngl3r @Tesla Tesla owners in the greater Giga Texas area will get priority, so yes"
2022-02-20 04:44:02-05:00,0,"@TeslaOwnersEBay @WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Depends mostly on FAA certification, but hopefully within 6 months.   We’re testing on Gulfstreams to debug issues, but deployment priority is commercial airliners."
2022-02-20 04:11:20-05:00,0,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Cybertruck
2022-02-20 04:09:57-05:00,0,"@WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Yes, in the air"
2022-02-20 04:04:48-05:00,0,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Probably
2022-02-18 20:58:40-05:00,0,"@RyanZohoury @TeslaCharging @Tesla And, of course, you can pay in Ðoge"
2022-02-18 20:54:01-05:00,1,@RyanZohoury @TeslaCharging @Tesla And futuristic diner / drive-in theater planned for Hollywood area!
2022-02-18 04:00:26-05:00,0,@teslaownersSV Pretty much 🤣🤣
2022-02-17 12:27:57-05:00,0,"@truth_tesla @CoinDesk @Aoyon_A @realDannyNelson For an in-depth explanation, read  https://t.co/eEojD2dQ2k"
2022-02-16 22:40:36-05:00,0,@PPathole @Tesla @SpaceX High pain threshold
2022-02-16 17:39:59-05:00,1,"@westcoastbill I was at a lunch with Munger in 2009 where he told the whole table all the ways Tesla would fail.   Made me quite sad, but I told him I agreed with all those reasons &amp; that we would probably die, but it was worth trying anyway."
2022-02-16 17:20:35-05:00,1,@24_7TeslaNews @SawyerMerritt Ok
2022-02-14 18:54:32-05:00,1,"@TeslaGong Yes, but more ground stations &amp; improved packet routing will make a bigger difference"
2022-02-14 13:53:54-05:00,1,"@TeslaPodcast Wow, that’s a lot of podcasts! Ok, I will do one. Maybe we could combine with Dave Lee and a few others."
2022-02-13 17:45:10-05:00,0,@ilyasut So many layers with Tesla FSD AI!
2022-02-13 14:26:17-05:00,0,@GailAlfarATX @Tesla ♥️
2022-02-13 03:19:01-05:00,1,@teslaownersSV Ancient times
2022-02-12 21:03:42-05:00,0,@Filasophical @TeslaHistorian The fun police made us do it (sigh)
2022-02-12 20:59:54-05:00,1,@TeslaHistorian Now Tesla is worth a trilly willy!
2022-02-08 16:35:50-05:00,0,@POTUS Tesla  https://t.co/3yhDxY2pjA
2022-02-08 00:39:31-05:00,1,@teslaownersSV @boringcompany @mayemusk @kimbal Yup!
2022-02-06 19:17:38-05:00,1,"@Teslarati @13ericralph31 @StarshipGazer As backdrops go, this is a good one"
2022-02-06 14:16:50-05:00,1,@TeslaNY @live_munro Munro understands
2022-02-05 20:20:58-05:00,0,Tesla Model S &amp; X Plaid are so fun!
2022-02-05 01:54:53-05:00,1,@Ali_Tesla585 @teslaownersSV @TheRealKeean Only very high resolution radar is relevant
2022-02-05 01:52:48-05:00,1,"@teslaownersSV @TheRealKeean We have to solve a huge part of AI just to make cars drive themselves.   In retrospect, it was inevitable. The road system is designed for cameras (eyes) &amp; neural nets (brains)."
2022-02-04 10:54:40-05:00,0,@co_tesla 💯
2022-02-03 17:20:31-05:00,0,@GailAlfarATX @Tesla Tesla is working hard to provide more Megapacks for grid stabilization
2022-02-03 16:31:05-05:00,1,@teslaownersSV Exactly. The terminology is anachronistic.
2022-02-02 10:52:23-05:00,0,@MinimalDuck @Tesla @Gfilche @WholeMarsBlog Tunnels …
2022-02-01 14:49:26-05:00,1,@TeslaOwnersUK Yes
2022-02-01 01:51:34-05:00,0,"@WholeMarsBlog Tesla is as much a software company as it is a hardware company, both in car and in factory. This is not widely understood."
2022-02-01 01:49:39-05:00,1,"@WholeMarsBlog Tesla has great respect for software engineering, they do not"
2022-01-31 19:40:31-05:00,0,@GerberKawasaki @Tesla @joerogan …
2022-01-31 15:26:46-05:00,0,"@GailAlfarATX They’ve been writing bogus articles about Tesla (and me) for years. In the end, it is their own credibility that suffers."
2022-01-30 15:57:38-05:00,0,"For reasons unknown, @potus is unable to say the word “Tesla”"
2022-01-30 15:36:44-05:00,0,@GailAlfarATX @POTUS @Tesla @JohnnaCrider1 @SawyerMerritt @WholeMarsBlog @teslaownersSV @TeslaOwnersEBay @Kristennetten @live_munro @BillyM2k @Grimezsz 🔥🔥
2022-01-28 16:52:08-05:00,1,@Teslaconomics @stevenmarkryan There will only be EVs in the future
2022-01-28 15:18:54-05:00,1,@Tesmanian_com Excited for future of solar at Tesla!
2022-01-28 13:44:33-05:00,0,@stevenmarkryan Tesla will support FSD licensing by other manufacturers
2022-01-27 21:47:29-05:00,0,"@stevenmarkryan Given how hard insanely FSD is, I think it may take 5 years or more before any company besides Tesla solves it"
2022-01-27 04:22:07-05:00,0,@Gfilche @Tesla ♥️
2022-01-25 06:59:55-05:00,0,@technology Our biggest limitation with Fremont is convincing enough associates to build cars when they have so many other job opportunities in the Bay Area!   Thanks again Tesla team for doing the hard work of building real products that people love ♥️
2022-01-21 01:38:03-05:00,1,@teslaownersSV An SUV that is faster than a Formula 1 race car  https://t.co/43YJpFDGpf
2022-01-19 16:54:55-05:00,0,@blueskykites @Grimezsz @WholeMarsBlog @SpaceXMR @musky_meme @CovelloMassimo @SpaceX @Kristennetten @EliBurton_ @Erdayastronaut @28delayslater @TeslaAndDoge @bevedoni @TeslaHype @OwenSparks_ @RationalEtienne It’s true – I do think a lot about rocket engine chamber pressure ahaha
2022-01-19 13:05:38-05:00,1,@sdteslaowners @Alandbru Ok
2022-01-19 05:04:10-05:00,1,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus"
2022-01-18 21:31:56-05:00,1,@PPathole @Tesla I was just there. Good progress!
2022-01-18 20:35:18-05:00,0,@tesla_raj People do not yet understand how valuable an autonomous vehicle will be
2022-01-18 02:12:24-05:00,1,"@teslaownersSV Spatial &amp; temporal memory are improving, so there will be less flicker"
2022-01-17 18:55:41-05:00,0,"@DriveTeslaca I obv can’t comment on every rumor, but this isn’t true. Am headed to Berlin mid Feb, not this week."
2022-01-17 16:56:53-05:00,0,@teslaownersSV Pretty wild
2022-01-16 19:10:13-05:00,1,@heydave7 @RealDanODowd @nytimes @Tesla @RealDawnProject Green Hills software is a pile of trash. Linux ftw.
2022-01-15 20:35:57-05:00,1,@DriveTeslaca @Tesla Firmware fix to recalibrate heat pump expansion valve is rolling out now
2022-01-15 19:56:47-05:00,1,@DriveTeslaca @Tesla Fixing this is a high priority
2022-01-15 14:01:03-05:00,0,@SawyerMerritt @Tesla Big difference
2022-01-14 02:11:50-05:00,0,Tesla merch buyable with Dogecoin
2022-01-13 16:21:08-05:00,1,@Teslarati @ResidentSponge Almost all input is error. Car should do the right thing automatically.
2022-01-12 18:55:42-05:00,0,@PPathole @Tesla Still working through a lot of challenges with the government
2022-01-11 19:53:37-05:00,0,"@vincent13031925 Tesla is working as fast as possible to support Tesla owners worldwide.   Sustainable energy affects everyone on Earth, as we all share one atmosphere."
2022-01-08 14:31:55-05:00,0,"@BLKMDL3 @Tesla It’s our best car ever, along with the Plaid X"
2022-01-07 19:29:11-05:00,1,"@WholeMarsBlog It was a mistake to try to use the Elise. In the end, only ~5% of the Elise parts ended up being used. Tesla Roadster is a totally different car."
2022-01-07 19:02:17-05:00,0,Tesla FSD price rising to $12k on Jan 17
2022-01-04 22:37:04-05:00,1,@teslaownersSV Room to improve …
2022-01-03 14:24:27-05:00,0,@ClaudioOmbrella @Tesla @slcuervo @alex_avoigt @ClubTeslaES @teslaownersSV @TeslaSchweiz @TeslaMotorsClub @vaielettrico 🇨🇭Yay Switzerland!! 🇨🇭
2022-01-02 13:49:50-05:00,0,Great work by Tesla team worldwide!
2021-12-31 21:51:52-05:00,0,@BLKMDL3 @Tesla 🔥
2022-03-05 04:33:13-05:00,1,@teslaownersSV A beautiful home for life
2022-03-04 20:41:59-05:00,0,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil &amp; gas exports."
2022-03-04 17:33:29-05:00,1,@RenataKonkoly @MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Haha sure :)
2022-03-04 15:10:16-05:00,1,@MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Ich möchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend! 🇩🇪 🇩🇪
2022-03-03 23:14:21-05:00,1,@teslaownersSV @tobyliiiiiiiiii Game on
2022-03-03 13:55:58-05:00,1,"@Teslarati @ResidentSponge In class action lawsuits, the actual plaintiff is always the class action law firm. They just find someone willing to serve as a puppet to “represent the class”."
2022-03-03 12:22:20-05:00,1,"@WhatsupFranks @Teslarati @ResidentSponge Yeah, maybe 98"
2022-03-03 12:17:34-05:00,0,@Teslarati @ResidentSponge This old YouTube clip helps explain why former UAW members who work at Tesla are not huge fans of UAW  https://t.co/dncVvZrkoL
2022-03-03 01:31:08-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden By the way, Tesla factory worker compensation is the highest in the auto industry  https://t.co/Peo3qtYc5D"
2022-03-03 00:57:31-05:00,0,"@ICannot_Enough @genesimmons @JoeBiden Our real challenge is Bay Area has negative unemployment, so if we don’t treat and compensate our (awesome) people well, they have many other offers and will just leave!  I’d like hereby to invite UAW to hold a union vote at their convenience. Tesla will do nothing to stop them."
2022-03-02 04:29:58-05:00,0,"@teslaownersSV 🤣🤣 That was me tweeting from @SpaceX when someone else had snatched my name.   I was actually one of the earliest Twitter users, but dropped my account because people were tweeting such trivialities at first. @westcoastbill convinced me to get back in."
2022-03-02 04:22:13-05:00,1,@WholeMarsBlog The probability of Tesla dying in 2008/2009 was very high. We closed our financing round at 6pm on Dec 24th – the last working hour of the last day before Tesla would otherwise bounce payroll.
2022-03-01 23:04:55-05:00,1,"@JoeBiden Tesla has created over 50,000 US jobs building electric vehicles &amp; is investing more than double GM + Ford combined  [fyi to person controlling this twitter]"
2022-03-01 22:58:18-05:00,0,"@teslaownersSV @WholeMarsBlog Our primary challenge is affordability. Creating an expensive truck is relatively easy.   If it is extremely hard to do so for Tesla, despite our much greater economies of scale &amp; better technology, then it is damn near impossible for others."
2022-03-01 22:52:27-05:00,1,"@WholeMarsBlog @Teslarati @KlenderJoey Saudi Arabia owns 2/3 of Lucid, so inevitable"
2022-03-01 22:41:03-05:00,0,@Teslarati @KlenderJoey Their negative gross margin will be staggering
2022-02-28 23:00:21-05:00,1,"@DriveTeslaca Depends on what issues we see that are unique to Canada. If things are looking good, then we can lower the safety score threshold."
2022-02-25 14:13:44-05:00,0,@DriveTeslaca We’ve had about 60 or so cars testing internally in Canada. Hoping to go wider this weekend.
2022-02-25 14:05:57-05:00,1,"@teslaownersSV @SpaceX Starlink is a little patchy to Tonga right now, but will improve dramatically as laser inter-satellite links activate"
2022-02-25 02:42:38-05:00,1,@teslaownersSV @moxie Just iMessage &amp; Signal
2022-02-23 14:31:05-05:00,1,@ziqi37 @teslaownersSV @SECGov Exactly
2022-02-22 18:00:52-05:00,0,@DMC_Ryan @CyberpunkGame We’re working through the general case of making Steam games work on a Tesla vs specific titles. Former is obviously where we should be long-term.
2022-02-22 14:48:59-05:00,0,"@teslaownersSV Small changes usually affect production for less than an hour, as they’re applied to a few stations during breaks.  Big changes may impact output for a day or two. Reversing out big changes or unexpected parts shortages are what impact several days."
2022-02-22 14:41:22-05:00,1,@teslaownersSV Sometimes 20 small changes in a single week
2022-02-22 07:37:56-05:00,1,@Teslarati @ResidentSponge This is just peeling back the first layer of the corruption onion. Stay tuned …
2022-02-22 06:37:11-05:00,1,@GailAlfarATX @SpaceX @SirineAti @austinbarnard45 @OwenSparks_ @TacosandTeslas @EvaFoxU @DimaZeniuk @Grandpajoe42 @AstroJordy Yes
2022-02-22 05:52:00-05:00,1,@Teslarati @Writer_01001101 !!
2022-02-21 20:23:06-05:00,1,@TeslaGong 🤣
2022-02-21 12:51:21-05:00,0,"@d4t4wr4ngl3r @Tesla Tesla owners in the greater Giga Texas area will get priority, so yes"
2022-02-20 04:44:02-05:00,0,"@TeslaOwnersEBay @WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Depends mostly on FAA certification, but hopefully within 6 months.   We’re testing on Gulfstreams to debug issues, but deployment priority is commercial airliners."
2022-02-20 04:11:20-05:00,0,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Cybertruck
2022-02-20 04:09:57-05:00,0,"@WholeMarsBlog @teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Yes, in the air"
2022-02-20 04:04:48-05:00,0,@teslaownersSV @MadonnaInn @telsa @SjvTesla @TeslaClubSoCal @TeslaClubLA @TeslaOwnersNBay @MyTeslaAdventur @teslaownersriv1 @OCTeslaClub @Tesla Probably
2022-02-18 20:58:40-05:00,0,"@RyanZohoury @TeslaCharging @Tesla And, of course, you can pay in Ðoge"
2022-02-18 20:54:01-05:00,1,@RyanZohoury @TeslaCharging @Tesla And futuristic diner / drive-in theater planned for Hollywood area!
2022-02-18 04:00:26-05:00,0,@teslaownersSV Pretty much 🤣🤣
2022-02-17 12:27:57-05:00,0,"@truth_tesla @CoinDesk @Aoyon_A @realDannyNelson For an in-depth explanation, read  https://t.co/eEojD2dQ2k"
2022-02-16 22:40:36-05:00,0,@PPathole @Tesla @SpaceX High pain threshold
2022-02-16 17:39:59-05:00,1,"@westcoastbill I was at a lunch with Munger in 2009 where he told the whole table all the ways Tesla would fail.   Made me quite sad, but I told him I agreed with all those reasons &amp; that we would probably die, but it was worth trying anyway."
2022-02-16 17:20:35-05:00,1,@24_7TeslaNews @SawyerMerritt Ok
2022-02-14 18:54:32-05:00,1,"@TeslaGong Yes, but more ground stations &amp; improved packet routing will make a bigger difference"
2022-02-14 13:53:54-05:00,1,"@TeslaPodcast Wow, that’s a lot of podcasts! Ok, I will do one. Maybe we could combine with Dave Lee and a few others."
2022-02-13 17:45:10-05:00,0,@ilyasut So many layers with Tesla FSD AI!
2022-02-13 14:26:17-05:00,0,@GailAlfarATX @Tesla ♥️
2022-02-13 03:19:01-05:00,1,@teslaownersSV Ancient times
2022-02-12 21:03:42-05:00,0,@Filasophical @TeslaHistorian The fun police made us do it (sigh)
2022-02-12 20:59:54-05:00,1,@TeslaHistorian Now Tesla is worth a trilly willy!
2022-02-08 16:35:50-05:00,0,@POTUS Tesla  https://t.co/3yhDxY2pjA
2022-02-08 00:39:31-05:00,1,@teslaownersSV @boringcompany @mayemusk @kimbal Yup!
2022-02-06 19:17:38-05:00,1,"@Teslarati @13ericralph31 @StarshipGazer As backdrops go, this is a good one"
2022-02-06 14:16:50-05:00,1,@TeslaNY @live_munro Munro understands
2022-02-05 20:20:58-05:00,0,Tesla Model S &amp; X Plaid are so fun!
2022-02-05 01:54:53-05:00,1,@Ali_Tesla585 @teslaownersSV @TheRealKeean Only very high resolution radar is relevant
2022-02-05 01:52:48-05:00,1,"@teslaownersSV @TheRealKeean We have to solve a huge part of AI just to make cars drive themselves.   In retrospect, it was inevitable. The road system is designed for cameras (eyes) &amp; neural nets (brains)."
2022-02-04 10:54:40-05:00,0,@co_tesla 💯
2022-02-03 17:20:31-05:00,0,@GailAlfarATX @Tesla Tesla is working hard to provide more Megapacks for grid stabilization
2022-02-03 16:31:05-05:00,1,@teslaownersSV Exactly. The terminology is anachronistic.
2022-02-02 10:52:23-05:00,0,@MinimalDuck @Tesla @Gfilche @WholeMarsBlog Tunnels …
2022-02-01 14:49:26-05:00,1,@TeslaOwnersUK Yes
2022-02-01 01:51:34-05:00,0,"@WholeMarsBlog Tesla is as much a software company as it is a hardware company, both in car and in factory. This is not widely understood."
2022-02-01 01:49:39-05:00,1,"@WholeMarsBlog Tesla has great respect for software engineering, they do not"
2022-01-31 19:40:31-05:00,0,@GerberKawasaki @Tesla @joerogan …
2022-01-31 15:26:46-05:00,0,"@GailAlfarATX They’ve been writing bogus articles about Tesla (and me) for years. In the end, it is their own credibility that suffers."
2022-01-30 15:57:38-05:00,0,"For reasons unknown, @potus is unable to say the word “Tesla”"
2022-01-30 15:36:44-05:00,0,@GailAlfarATX @POTUS @Tesla @JohnnaCrider1 @SawyerMerritt @WholeMarsBlog @teslaownersSV @TeslaOwnersEBay @Kristennetten @live_munro @BillyM2k @Grimezsz 🔥🔥
2022-01-28 16:52:08-05:00,1,@Teslaconomics @stevenmarkryan There will only be EVs in the future
2022-01-28 15:18:54-05:00,1,@Tesmanian_com Excited for future of solar at Tesla!
2022-01-28 13:44:33-05:00,0,@stevenmarkryan Tesla will support FSD licensing by other manufacturers
2022-01-27 21:47:29-05:00,0,"@stevenmarkryan Given how hard insanely FSD is, I think it may take 5 years or more before any company besides Tesla solves it"
2022-01-27 04:22:07-05:00,0,@Gfilche @Tesla ♥️
2022-01-25 06:59:55-05:00,0,@technology Our biggest limitation with Fremont is convincing enough associates to build cars when they have so many other job opportunities in the Bay Area!   Thanks again Tesla team for doing the hard work of building real products that people love ♥️
2022-01-21 01:38:03-05:00,1,@teslaownersSV An SUV that is faster than a Formula 1 race car  https://t.co/43YJpFDGpf
2022-01-19 16:54:55-05:00,0,@blueskykites @Grimezsz @WholeMarsBlog @SpaceXMR @musky_meme @CovelloMassimo @SpaceX @Kristennetten @EliBurton_ @Erdayastronaut @28delayslater @TeslaAndDoge @bevedoni @TeslaHype @OwenSparks_ @RationalEtienne It’s true – I do think a lot about rocket engine chamber pressure ahaha
2022-01-19 13:05:38-05:00,1,@sdteslaowners @Alandbru Ok
2022-01-19 05:04:10-05:00,1,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus"
2022-01-18 21:31:56-05:00,1,@PPathole @Tesla I was just there. Good progress!
2022-01-18 20:35:18-05:00,0,@tesla_raj People do not yet understand how valuable an autonomous vehicle will be
2022-01-18 02:12:24-05:00,1,"@teslaownersSV Spatial &amp; temporal memory are improving, so there will be less flicker"
